FID,ID_KEL,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,ODP,Proses Pemantauan,Selesai Pemantauan,PDP,Masih Dirawat,Pulang dan Sehat,POSITIF,Dirawat,Sembuh,Meninggal,Self Isolation,Keterangan,Latitude,Longitude
174,3175011005,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KEBON MANGGIS,33,2,31,5,1,4,5,1,1,1,2,,-6.2063482,106.8563741
175,3175031005,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG CEMPEDAK,24,0,24,18,3,15,12,8,3,1,0,,-6.2367005,106.8738228
176,3173031007,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,GLODOK,7,0,7,4,0,4,2,1,0,1,0,,-6.1447085,106.8130921
177,3174071004,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,SELONG,4,0,4,4,0,4,3,1,1,0,1,,-6.2343005,106.8044293
178,3172011001,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PENJARINGAN,412,2,410,29,2,27,92,9,3,3,77,,-6.1172651,106.7674334
179,3174071010,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,CIPETE UTARA,50,0,50,31,2,29,10,4,5,1,0,,-6.2610092,106.8040539
180,3172031003,DKI JAKARTA,JAKARTA UTARA,KOJA,LAGOA,106,1,105,39,6,33,35,12,3,2,18,,-6.1136981,106.9101507
181,3171011004,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO SELATAN,45,0,45,7,0,7,4,3,0,1,0,,-6.1748006,106.8164054
182,3171071006,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON KACANG,277,1,276,35,2,33,92,16,11,4,61,,-6.190609,106.8157652
183,3173041005,DKI JAKARTA,JAKARTA BARAT,TAMBORA,KERENDANG,42,1,41,8,3,5,18,3,2,2,11,,-6.1514305,106.8059011
184,3171081003,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,GALUR,37,1,36,3,1,2,2,0,1,0,1,,-6.1761435,106.8550726
185,3175091005,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,RAMBUTAN,51,0,51,13,1,12,7,3,1,0,3,,-6.3031181,106.8722738
186,3173031003,DKI JAKARTA,JAKARTA BARAT,TAMAN SARI,MAPHAR,39,0,39,11,0,11,59,25,16,0,18,,-6.156314,106.8204179
187,3175041006,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CILILITAN,37,1,36,9,2,7,14,5,3,0,6,,-6.2622027,106.8662674
188,3175031007,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR SELATAN,34,1,33,11,1,10,11,2,4,1,4,,-6.229193,106.8793625
189,3171031006,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,CEMPAKA BARU,61,1,60,25,5,20,30,4,1,6,19,,-6.1677049,106.8619785
190,3173041008,DKI JAKARTA,JAKARTA BARAT,TAMBORA,JEMBATAN LIMA,21,1,20,12,6,6,8,3,1,1,3,,-6.1451982,106.8038976
191,3175041003,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,DUKUH,35,0,35,7,2,5,14,6,1,0,7,,-6.2932913,106.8770452
192,3171011006,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,DURI PULO,39,0,39,10,3,7,3,0,0,0,3,,-6.1616599,106.808114
193,3172021003,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,61,1,60,25,0,25,5,2,1,1,1,,-6.1299747,106.8719699
194,3172041007,DKI JAKARTA,JAKARTA UTARA,CILINCING,SEMPER BARAT,157,6,151,18,2,16,20,8,0,0,12,,-6.1228545,106.9242026
195,3172011003,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,KAPUK MUARA,54,0,54,7,1,6,11,6,2,2,1,,-6.1212545,106.7629244
196,3175011002,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,UTAN KAYU UTARA,50,1,49,21,2,19,12,6,1,2,3,,-6.1960466,106.8677456
197,3171051001,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH TIMUR,301,0,301,57,1,56,45,17,17,1,10,,-6.177633,106.8704491
198,3171071003,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KARET TENGSIN,51,0,51,12,2,10,11,3,3,0,5,,-6.208031,106.8169514
199,3172041001,DKI JAKARTA,JAKARTA UTARA,CILINCING,CILINCING,193,2,191,16,6,10,18,6,1,0,11,,-6.1290145,106.9444538
