FID,ID_KEL,Nama_provinsi,nama_kota,nama_kecamatan,nama_kelurahan,ODP,Proses Pemantauan,Selesai Pemantauan,PDP,Masih Dirawat,Pulang dan Sehat,POSITIF,Dirawat,Sembuh,Meninggal,Self Isolation,Keterangan,Latitude,Longitude
28,3175031006,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG MUARA,52,2,50,9,0,9,25,8,6,2,9,,-6.2263455,106.8884283
29,3175061003,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,PENGGILINGAN,93,3,90,28,2,26,38,11,11,2,14,,-6.202129,106.9342476
30,3174011002,DKI JAKARTA,JAKARTA SELATAN,TEBET,TEBET BARAT,87,0,87,21,0,21,29,4,14,2,9,,-6.233783,106.8484978
31,3173021004,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR,72,2,70,12,1,11,27,3,11,4,9,,-6.1598968,106.7854878
32,3174011005,DKI JAKARTA,JAKARTA SELATAN,TEBET,BUKIT DURI,48,2,46,20,0,20,18,4,7,3,4,,-6.2201045,106.8565986
33,3174021003,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET KUNINGAN,49,1,48,14,0,14,14,3,8,2,1,,-6.2202835,106.8279612
34,3173071001,DKI JAKARTA,JAKARTA BARAT,PALMERAH,PALMERAH,269,8,261,102,6,96,56,20,10,6,20,,-6.1910017,106.7943633
35,3171051002,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,CEMPAKA PUTIH BARAT,237,4,233,75,3,72,35,7,12,5,11,,-6.178733,106.8624855
36,3175041007,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,CAWANG,28,3,25,6,0,6,21,6,10,2,3,,-6.2506727,106.8678109
37,3175021006,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,KAYU PUTIH,81,3,78,38,3,35,40,14,15,4,7,,-6.1781625,106.884318
38,3171061001,DKI JAKARTA,JAKARTA PUSAT,MENTENG,MENTENG,128,2,126,20,2,18,21,9,5,4,3,,-6.1950265,106.8322242
39,3175051004,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,KALISARI,56,0,56,18,2,16,19,3,8,2,6,,-6.3360796,106.8529734
40,3174051001,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA UTARA,54,2,52,26,5,21,18,5,8,2,3,,-6.2457077,106.7785578
41,3173051006,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,KEDOYA UTARA,117,2,115,18,2,16,17,6,6,0,5,,-6.1678201,106.7606384
42,3171031002,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,KEBON KOSONG,62,0,62,20,1,19,29,2,10,5,12,,-6.158496,106.8538351
43,3173081001,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN UTARA,53,5,48,21,3,18,25,5,8,1,11,,-6.1732667,106.7427257
44,3171081001,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,JOHAR BARU,142,2,140,30,1,29,23,6,5,3,9,,-6.1831251,106.8553323
45,3175021002,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,PISANGAN TIMUR,76,0,76,15,1,14,8,2,4,2,0,,-6.208459,106.8793966
46,3172031002,DKI JAKARTA,JAKARTA UTARA,KOJA,TUGU UTARA,188,5,183,62,10,52,33,6,5,4,18,,-6.1246667,106.9125193
47,3174041006,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN BARAT,106,1,105,24,2,22,20,8,4,2,6,,-6.2726501,106.8393437
48,3173011002,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,DURI KOSAMBI,75,0,75,16,2,14,17,6,7,1,3,,-6.1688734,106.7207928
49,3175071003,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,KLENDER,108,0,108,19,0,19,42,11,12,8,11,,-6.2132833,106.8998118
50,3175011003,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,KAYU MANIS,209,0,209,21,0,21,27,14,8,1,4,,-6.2018835,106.8619995
51,3172051002,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,PADEMANGAN BARAT,438,11,427,59,5,54,134,29,9,7,89,,-6.1368849,106.8362784
52,3172021004,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNGAI BAMBU,38,0,38,23,0,23,10,2,2,3,3,,-6.1267423,106.8854884
53,3172011004,DKI JAKARTA,JAKARTA UTARA,PENJARINGAN,PEJAGALAN,79,0,79,13,5,8,24,9,6,1,8,,-6.138128,106.8073922
54,3175011006,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,174,3,171,27,2,25,38,11,10,3,14,,-6.2037185,106.8688374
55,3174051005,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL SELATAN,58,1,57,25,4,21,20,5,6,2,7,,-6.2295375,106.7800183
56,3173071003,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KOTA BAMBU UTARA,97,0,97,34,9,25,35,7,6,3,19,,-6.1837155,106.8035543
57,3174101005,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,51,1,50,24,5,19,17,5,3,3,6,,-6.2361505,106.7638814
58,3175091001,DKI JAKARTA,JAKARTA TIMUR,CIRACAS,CIRACAS,117,1,116,31,0,31,24,3,9,5,7,,-6.3296346,106.8766039
59,3172061002,DKI JAKARTA,JAKARTA UTARA,KELAPA GADING,PEGANGSAAN DUA,267,0,267,26,0,26,27,11,7,2,7,,-6.1603315,106.9153944
60,3173061003,DKI JAKARTA,JAKARTA BARAT,KALI DERES,TEGAL ALUR,99,0,99,33,1,32,16,3,8,0,5,,-6.1159573,106.7176021
61,3173011006,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,CENGKARENG TIMUR,98,0,98,17,2,15,36,11,8,2,15,,-6.1383694,106.7359895
62,3174041005,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PEJATEN TIMUR,164,1,163,37,3,34,35,11,7,4,13,,-6.2802302,106.8475176
63,3174051006,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,KEBAYORAN LAMA SELATAN,90,0,90,43,1,42,12,4,3,4,1,,-6.2539745,106.7777992
64,3175071002,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,228,2,226,44,2,42,63,4,6,4,49,,-6.2379668,106.9026733
65,3175011001,DKI JAKARTA,JAKARTA TIMUR,MATRAMAN,PISANGAN BARU,36,1,35,18,1,17,21,5,9,1,6,,-6.2115748,106.8687939
66,3174071009,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN BARU,GANDARIA UTARA,50,1,49,27,1,26,8,3,3,0,2,,-6.2566117,106.7903387
67,3175021005,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,RAWAMANGUN,68,0,68,15,0,15,25,10,10,1,4,,-6.1948957,106.8828615
68,3174091001,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,JAGAKARSA,161,2,159,42,1,41,19,3,9,1,6,,-6.3301011,106.8222371
69,3174061003,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,PONDOK LABU,105,0,105,49,6,43,26,6,12,1,7,,-6.3091437,106.7979382
70,3172021002,DKI JAKARTA,JAKARTA UTARA,TANJUNG PRIOK,SUNTER JAYA,119,3,116,60,4,56,33,9,4,5,15,,-6.1511614,106.8748802
71,3175101007,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,LUBANG BUAYA,77,0,77,20,3,17,11,3,4,0,4,,-6.2940382,106.8999121
72,3173051003,DKI JAKARTA,JAKARTA BARAT,KEBON JERUK,SUKABUMI SELATAN,59,1,58,25,6,19,16,6,5,1,4,,-6.2215483,106.7721536
73,3174021006,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,PASAR MANGGIS,27,2,25,12,1,11,8,3,2,1,2,,-6.2109346,106.8423451
74,3175071007,DKI JAKARTA,JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,45,0,45,13,1,12,22,4,1,4,13,,-6.2278565,106.9414766
75,3175031008,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,CIPINANG BESAR UTARA,181,1,180,5,0,5,32,8,5,1,18,,-6.220258,106.8783082
76,3171081002,DKI JAKARTA,JAKARTA PUSAT,JOHAR BARU,KAMPUNG RAWA,164,1,163,19,2,17,25,5,3,5,12,,-6.179652,106.8555871
77,3174101001,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PESANGGRAHAN,68,0,68,21,0,21,10,2,5,3,0,,-6.2554579,106.763112
78,3175061006,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,UJUNG MENTENG,22,0,22,11,0,11,7,1,2,2,2,,-6.1865521,106.966587
79,3174101004,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN SELATAN,34,0,34,18,1,17,5,0,3,1,1,,-6.2428451,106.7539849
80,3175051003,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,CIJANTUNG,55,1,54,11,0,11,9,2,3,1,3,,-6.3220385,106.8581623
81,3174061005,DKI JAKARTA,JAKARTA SELATAN,CILANDAK,CIPETE SELATAN,51,0,51,24,4,20,6,0,2,3,1,,-6.27254,106.805768
82,3174031003,DKI JAKARTA,JAKARTA SELATAN,MAMPANG PRAPATAN,PELA MAMPANG,142,0,142,19,1,18,15,5,3,4,3,,-6.2469129,106.8171275
83,3171071002,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,BENDUNGAN HILIR,153,2,151,25,3,22,13,1,8,0,4,,-6.2085873,106.8083837
84,3174101003,DKI JAKARTA,JAKARTA SELATAN,PESANGGRAHAN,PETUKANGAN UTARA,74,0,74,18,1,17,22,7,7,2,6,,-6.2300149,106.7513002
85,3173071004,DKI JAKARTA,JAKARTA BARAT,PALMERAH,JATI PULO,75,2,73,34,10,24,26,9,8,1,8,,-6.17825,106.8035875
86,3171061002,DKI JAKARTA,JAKARTA PUSAT,MENTENG,PEGANGSAAN,52,1,51,12,1,11,21,5,4,1,11,,-6.2019499,106.8474914
87,3173021002,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN UTARA,45,1,44,22,0,22,11,3,5,1,2,,-6.1751538,106.7816548
88,3173021006,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,JELAMBAR BARU,50,0,50,12,0,12,12,4,3,2,3,,-6.1495137,106.7867168
89,3175041001,DKI JAKARTA,JAKARTA TIMUR,KRAMAT JATI,KRAMAT JATI,46,1,45,7,3,4,11,2,2,2,5,,-6.2749404,106.8625014
90,3173011005,DKI JAKARTA,JAKARTA BARAT,CENGKARENG,KAPUK,150,1,149,19,4,15,25,6,7,6,6,,-6.139831,106.7539417
91,3173021007,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,81,1,80,48,0,48,18,10,6,2,0,,-6.1543853,106.775837
92,3174091003,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,CIGANJUR,117,5,112,32,2,30,9,3,4,1,1,,-6.3334297,106.8075366
93,3171051003,DKI JAKARTA,JAKARTA PUSAT,CEMPAKA PUTIH,RAWASARI,211,2,209,56,0,56,11,7,2,1,1,,-6.1906797,106.8664498
94,3173021005,DKI JAKARTA,JAKARTA BARAT,GROGOL PETAMBURAN,TANJUNG DUREN SELATAN,69,0,69,18,3,15,22,6,8,3,5,,-6.1791855,106.789501
95,3175031002,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BIDARA CINA,37,0,37,2,0,2,29,8,6,5,10,,-6.2347456,106.8680942
96,3174021002,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET SEMANGGI,15,0,15,5,0,5,3,0,1,2,0,,-6.2228956,106.8178823
97,3173081006,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,KEMBANGAN SELATAN,37,2,35,14,3,11,21,2,7,0,12,,-6.1885306,106.739284
98,3173081005,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,JOGLO,52,0,52,20,3,17,22,5,5,0,12,,-6.219017,106.7383023
99,3175061004,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,CAKUNG TIMUR,47,2,45,13,0,13,12,5,4,0,3,,-6.17428,106.9533236
100,3173081002,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA UTARA,47,1,46,18,2,16,20,9,4,0,7,,-6.1958612,106.742505
101,3174051004,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,GROGOL UTARA,67,2,65,17,2,15,25,8,6,0,11,,-6.2165491,106.7866647
102,3174081001,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,PANCORAN,143,0,143,16,0,16,14,5,6,2,1,,-6.2580853,106.8427326
103,3174041001,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,PASAR MINGGU,99,1,98,22,0,22,10,3,3,2,2,,-6.2919498,106.8278347
104,3175081002,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,PINANG RANTI,34,0,34,13,1,12,14,4,4,2,4,,-6.2860869,106.8818251
105,3174051003,DKI JAKARTA,JAKARTA SELATAN,KEBAYORAN LAMA,CIPULIR,39,0,39,28,3,25,17,9,5,1,2,,-6.2378985,106.7725618
106,3171071001,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,GELORA,6,0,6,2,0,2,5,3,1,1,0,,-6.2154325,106.8028515
107,3175081005,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,27,0,27,6,0,6,17,5,7,3,2,,-6.2494774,106.911258
108,3175061005,DKI JAKARTA,JAKARTA TIMUR,CAKUNG,PULO GEBANG,87,0,87,22,2,20,29,9,9,2,9,,-6.205659,106.9532485
109,3174081004,DKI JAKARTA,JAKARTA SELATAN,PANCORAN,DUREN TIGA,84,1,83,12,0,12,7,2,3,0,2,,-6.2561309,106.8339148
110,3174041007,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,KEBAGUSAN,68,2,66,17,1,16,15,4,7,0,4,,-6.3091051,106.831976
111,3174041002,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,JATI PADANG,82,1,81,26,0,26,13,3,4,2,4,,-6.2890016,106.8300844
112,3174041003,DKI JAKARTA,JAKARTA SELATAN,PASAR MINGGU,CILANDAK TIMUR,52,0,52,31,4,27,11,2,5,2,2,,-6.2920768,106.8112826
113,3175021003,DKI JAKARTA,JAKARTA TIMUR,PULO GADUNG,CIPINANG,43,0,43,12,1,11,19,8,5,2,4,,-6.2079995,106.8908485
114,3171021001,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,PASAR BARU,49,0,49,23,2,21,23,9,6,0,8,,-6.165709,106.8346362
115,3171011003,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,PETOJO UTARA,55,0,55,14,3,11,17,5,4,2,6,,-6.1651065,106.8154106
116,3175031003,DKI JAKARTA,JAKARTA TIMUR,JATINEGARA,BALI MESTER,9,0,9,7,1,6,8,0,7,1,0,,-6.219198,106.8665638
117,3171061004,DKI JAKARTA,JAKARTA PUSAT,MENTENG,GONDANGDIA,15,0,15,4,0,4,11,7,1,2,1,,-6.1858204,106.8326229
118,3175051005,DKI JAKARTA,JAKARTA TIMUR,PASAR REBO,PEKAYON,42,0,42,7,0,7,5,1,1,1,2,,-6.3447406,106.8642328
119,3171021004,DKI JAKARTA,JAKARTA PUSAT,SAWAH BESAR,GUNUNG SAHARI UTARA,52,0,52,34,0,34,18,7,6,5,0,,-6.150479,106.8382245
120,3172041002,DKI JAKARTA,JAKARTA UTARA,CILINCING,SUKAPURA,103,6,97,15,2,13,17,5,2,1,9,,-6.1504493,106.9218057
121,3174021004,DKI JAKARTA,JAKARTA SELATAN,SETIA BUDI,KARET,44,1,43,8,0,8,14,5,3,0,6,,-6.213289,106.8273273
122,3171011002,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,CIDENG,101,6,95,27,3,24,16,11,2,2,1,,-6.1748601,106.8091497
123,3171041006,DKI JAKARTA,JAKARTA PUSAT,SENEN,BUNGUR,45,0,45,11,0,11,12,1,5,0,6,,-6.1716937,106.8481034
124,3174011004,DKI JAKARTA,JAKARTA SELATAN,TEBET,KEBON BARU,51,0,51,20,3,17,19,8,2,0,9,,-6.2343044,106.8624921
125,3173071002,DKI JAKARTA,JAKARTA BARAT,PALMERAH,SLIPI,82,3,79,31,1,30,15,2,8,1,4,,-6.195084,106.8012441
126,3174091004,DKI JAKARTA,JAKARTA SELATAN,JAGAKARSA,LENTENG AGUNG,79,4,75,17,1,16,15,4,4,0,7,,-6.3232634,106.8358484
127,3173071005,DKI JAKARTA,JAKARTA BARAT,PALMERAH,KEMANGGISAN,76,2,74,22,4,18,21,3,11,2,5,,-6.1896703,106.7908831
128,3175101002,DKI JAKARTA,JAKARTA TIMUR,CIPAYUNG,CILANGKAP,31,0,31,13,1,12,15,7,4,0,4,,-6.3337625,106.9080579
129,3171011005,DKI JAKARTA,JAKARTA PUSAT,GAMBIR,KEBON KELAPA,41,1,40,8,0,8,7,0,4,1,2,,-6.1635065,106.8244656
130,3171041003,DKI JAKARTA,JAKARTA PUSAT,SENEN,PASEBAN,114,0,114,23,1,22,22,9,6,1,6,,-6.1934033,106.8526922
131,3175081003,DKI JAKARTA,JAKARTA TIMUR,MAKASAR,KEBON PALA,54,1,53,14,4,10,6,2,1,0,3,,-6.253495,106.8766303
132,3171031005,DKI JAKARTA,JAKARTA PUSAT,KEMAYORAN,GUNUNG SAHARI SELATAN,46,1,45,8,0,8,7,2,4,0,1,,-6.1570118,106.84439
133,3171071005,DKI JAKARTA,JAKARTA PUSAT,TANAH ABANG,KEBON MELATI,233,1,232,51,5,46,68,14,6,4,44,,-6.19685,106.8159476
134,3171041002,DKI JAKARTA,JAKARTA PUSAT,SENEN,KENARI,43,1,42,9,0,9,7,2,3,0,2,,-6.1926888,106.8465703
135,3172051003,DKI JAKARTA,JAKARTA UTARA,PADEMANGAN,ANCOL,63,3,60,14,2,12,20,7,1,0,12,,-6.1280857,106.8448651
136,3173081003,DKI JAKARTA,JAKARTA BARAT,KEMBANGAN,MERUYA SELATAN,50,2,48,14,1,13,14,7,1,2,4,,-6.2069776,106.7340358
